date,open,high,low,close,volume,index_name,symbol,exchange,currency
20210315,14504.49,14572.24,14409.35,14461.42,0.0,DAX,DAX,EUREX,EUR
20210316,14519.72,14601.79,14511.3,14557.58,0.0,DAX,DAX,EUREX,EUR
20210317,14565.29,14601.63,14539.7,14596.61,0.0,DAX,DAX,EUREX,EUR
20210318,14673.72,14804.01,14669.95,14775.52,0.0,DAX,DAX,EUREX,EUR
20210319,14697.26,14747.56,14563.21,14621.0,0.0,DAX,DAX,EUREX,EUR
20210322,14551.17,14677.12,14539.27,14657.21,0.0,DAX,DAX,EUREX,EUR
20210323,14582.07,14707.37,14516.22,14662.02,0.0,DAX,DAX,EUREX,EUR
20210324,14543.58,14619.04,14523.12,14610.39,0.0,DAX,DAX,EUREX,EUR
20210325,14550.4,14621.36,14422.65,14621.36,0.0,DAX,DAX,EUREX,EUR
20210326,14714.59,14776.32,14693.94,14748.94,0.0,DAX,DAX,EUREX,EUR
20210329,14809.8,14845.42,14756.04,14817.72,0.0,DAX,DAX,EUREX,EUR
20210330,14897.66,15029.7,14890.28,15008.61,0.0,DAX,DAX,EUREX,EUR
20210331,14982.12,15026.49,14973.59,15008.34,0.0,DAX,DAX,EUREX,EUR
20210401,15053.77,15110.92,15032.52,15107.17,0.0,DAX,DAX,EUREX,EUR
20210406,15289.97,15311.86,15209.9,15212.68,0.0,DAX,DAX,EUREX,EUR
20210407,15221.23,15242.73,15160.28,15176.36,0.0,DAX,DAX,EUREX,EUR
20210408,15236.44,15247.78,15144.11,15202.68,0.0,DAX,DAX,EUREX,EUR
20210409,15198.14,15243.56,15157.21,15234.16,0.0,DAX,DAX,EUREX,EUR
20210412,15238.85,15275.33,15212.24,15215.0,0.0,DAX,DAX,EUREX,EUR
20210413,15244.62,15281.65,15184.95,15234.36,0.0,DAX,DAX,EUREX,EUR
20210414,15253.59,15255.92,15191.51,15209.15,0.0,DAX,DAX,EUREX,EUR
20210415,15238.63,15271.69,15227.63,15255.33,0.0,DAX,DAX,EUREX,EUR
20210416,15277.85,15473.83,15274.22,15459.75,0.0,DAX,DAX,EUREX,EUR
20210419,15496.87,15501.84,15368.14,15368.39,0.0,DAX,DAX,EUREX,EUR
20210420,15361.15,15393.13,15109.54,15129.51,0.0,DAX,DAX,EUREX,EUR
20210421,15179.91,15210.69,15071.78,15195.97,0.0,DAX,DAX,EUREX,EUR
