date,open,high,low,close,volume,index_name,symbol,exchange,currency
20210315,12936.13,13085.01,12885.64,13082.54,0.0,NDX,NDX,NASDAQ,USD
20210316,13156.65,13297.48,13091.78,13152.28,0.0,NDX,NDX,NASDAQ,USD
20210317,13024.83,13280.29,12950.08,13202.38,0.0,NDX,NDX,NASDAQ,USD
20210318,13006.29,13040.36,12781.53,12789.14,0.0,NDX,NDX,NASDAQ,USD
20210319,12792.67,12906.02,12704.07,12866.99,0.0,NDX,NDX,NASDAQ,USD
20210322,12943.14,13167.46,12943.14,13086.51,0.0,NDX,NDX,NASDAQ,USD
20210323,13127.17,13180.66,12993.5,13017.79,0.0,NDX,NDX,NASDAQ,USD
20210324,13072.82,13077.49,12797.84,12798.88,0.0,NDX,NDX,NASDAQ,USD
20210325,12707.58,12845.66,12627.92,12780.51,0.0,NDX,NDX,NASDAQ,USD
20210326,12777.27,12992.3,12721.66,12979.12,0.0,NDX,NDX,NASDAQ,USD
20210329,12950.51,13013.47,12836.6,12965.74,0.0,NDX,NDX,NASDAQ,USD
20210330,12904.01,12929.46,12798.03,12896.53,0.0,NDX,NDX,NASDAQ,USD
20210331,12970.33,13167.06,12966.65,13091.44,0.0,NDX,NDX,NASDAQ,USD
20210401,13268.88,13333.41,13255.82,13329.51,0.0,NDX,NDX,NASDAQ,USD
20210405,13434.04,13623.6,13420.81,13598.16,0.0,NDX,NDX,NASDAQ,USD
20210406,13567.21,13660.29,13551.6,13578.46,0.0,NDX,NDX,NASDAQ,USD
20210407,13553.9,13648.8,13532.63,13616.7,0.0,NDX,NDX,NASDAQ,USD
20210408,13730.73,13763.18,13703.51,13758.5,0.0,NDX,NDX,NASDAQ,USD
20210409,13709.67,13849.31,13674.92,13845.05,0.0,NDX,NDX,NASDAQ,USD
20210412,13792.74,13839.39,13747.63,13819.35,0.0,NDX,NDX,NASDAQ,USD
20210413,13874.58,14002.53,13874.58,13986.49,0.0,NDX,NDX,NASDAQ,USD
20210414,13988.87,13990.54,13782.17,13803.91,0.0,NDX,NDX,NASDAQ,USD
20210415,13934.87,14040.11,13931.01,14026.19,0.0,NDX,NDX,NASDAQ,USD
