date,open,high,low,close,volume,index_name,symbol,exchange,currency
20210315,18910.07,18964.29,18808.51,18954.75,0.0,TSX,TSX,TSE,CAD
20210316,18974.19,18974.19,18854.65,18874.01,0.0,TSX,TSX,TSE,CAD
20210317,18840.81,19037.13,18820.91,18983.1,0.0,TSX,TSX,TSE,CAD
20210318,18923.95,18989.62,18813.31,18836.47,0.0,TSX,TSX,TSE,CAD
20210319,18836.7,18883.68,18721.74,18854.0,0.0,TSX,TSX,TSE,CAD
20210322,18838.35,18852.36,18772.57,18815.13,0.0,TSX,TSX,TSE,CAD
20210323,18791.69,18824.72,18642.52,18669.8,0.0,TSX,TSX,TSE,CAD
20210324,18744.38,18789.83,18626.39,18628.29,0.0,TSX,TSX,TSE,CAD
20210325,18553.25,18674.62,18460.6,18651.1,0.0,TSX,TSX,TSE,CAD
20210326,18683.42,18758.57,18591.24,18752.58,0.0,TSX,TSX,TSE,CAD
20210329,18707.7,18760.01,18613.94,18719.22,0.0,TSX,TSX,TSE,CAD
20210330,18647.7,18733.7,18606.57,18705.56,0.0,TSX,TSX,TSE,CAD
20210331,18727.33,18786.81,18687.85,18700.67,0.0,TSX,TSX,TSE,CAD
20210401,18799.85,18993.81,18772.73,18990.32,0.0,TSX,TSX,TSE,CAD
20210405,19062.27,19082.65,19017.25,19026.79,0.0,TSX,TSX,TSE,CAD
20210406,19083.26,19153.0,19058.86,19104.14,0.0,TSX,TSX,TSE,CAD
20210407,19138.2,19177.96,19099.15,19129.07,0.0,TSX,TSX,TSE,CAD
20210408,19157.02,19228.87,19089.12,19228.87,0.0,TSX,TSX,TSE,CAD
20210409,19183.32,19228.03,19157.26,19228.03,0.0,TSX,TSX,TSE,CAD
20210412,19220.05,19252.77,19161.73,19201.28,0.0,TSX,TSX,TSE,CAD
20210413,19249.32,19256.37,19182.04,19203.7,0.0,TSX,TSX,TSE,CAD
20210414,19263.6,19312.3,19163.37,19171.66,0.0,TSX,TSX,TSE,CAD
20210415,19252.99,19337.17,19249.74,19321.92,0.0,TSX,TSX,TSE,CAD
20210416,19380.68,19380.68,19293.78,19351.32,0.0,TSX,TSX,TSE,CAD
20210419,19341.21,19364.63,19180.01,19204.42,0.0,TSX,TSX,TSE,CAD
20210420,19106.71,19119.74,18967.09,19040.78,0.0,TSX,TSX,TSE,CAD
20210421,19022.88,19152.82,19022.88,19143.25,0.0,TSX,TSX,TSE,CAD
20210422,19148.37,19148.37,18988.68,19031.64,0.0,TSX,TSX,TSE,CAD
20210423,19055.95,19126.13,19033.54,19102.33,0.0,TSX,TSX,TSE,CAD
20210426,19109.86,19186.75,19104.9,19170.56,0.0,TSX,TSX,TSE,CAD
20210427,19205.47,19241.61,19123.41,19175.09,0.0,TSX,TSX,TSE,CAD
20210428,19235.89,19403.54,19217.59,19356.95,0.0,TSX,TSX,TSE,CAD
20210429,19413.49,19439.82,19221.7,19255.92,0.0,TSX,TSX,TSE,CAD
20210430,19196.48,19227.37,19084.96,19108.33,0.0,TSX,TSX,TSE,CAD
20210503,19193.56,19276.09,19193.56,19213.16,0.0,TSX,TSX,TSE,CAD
20210504,19207.24,19231.23,19052.41,19188.03,0.0,TSX,TSX,TSE,CAD
20210505,19259.06,19340.26,19219.07,19310.74,0.0,TSX,TSX,TSE,CAD
20210506,19313.32,19320.3,19181.87,19290.98,0.0,TSX,TSX,TSE,CAD
20210507,19330.79,19491.51,19317.27,19472.74,0.0,TSX,TSX,TSE,CAD
20210510,19503.6,19543.88,19361.88,19361.88,0.0,TSX,TSX,TSE,CAD
20210511,19185.5,19295.61,19090.28,19274.04,0.0,TSX,TSX,TSE,CAD
20210512,19216.29,19259.01,19067.7,19107.77,0.0,TSX,TSX,TSE,CAD
20210513,19100.82,19209.96,19063.95,19135.81,0.0,TSX,TSX,TSE,CAD
20210514,19206.15,19393.28,19202.73,19366.69,0.0,TSX,TSX,TSE,CAD
20210517,19341.9,19475.54,19320.12,19474.65,0.0,TSX,TSX,TSE,CAD
