date,open,high,low,close,volume,index_name,symbol,exchange,currency
20210315,678.43,681.54,676.14,678.8,0.0,AEX,EOE,FTA,EUR
20210316,682.74,684.45,679.65,683.65,0.0,AEX,EOE,FTA,EUR
20210317,682.22,684.4,679.11,680.71,0.0,AEX,EOE,FTA,EUR
20210318,684.05,684.46,680.16,682.39,0.0,AEX,EOE,FTA,EUR
20210319,675.89,683.43,675.89,681.7,0.0,AEX,EOE,FTA,EUR
20210322,678.38,684.23,677.86,684.21,0.0,AEX,EOE,FTA,EUR
20210323,681.19,684.29,679.48,681.74,0.0,AEX,EOE,FTA,EUR
20210324,682.59,687.96,681.62,686.13,0.0,AEX,EOE,FTA,EUR
20210325,684.32,686.48,677.33,685.33,0.0,AEX,EOE,FTA,EUR
20210326,690.69,697.94,689.68,696.62,0.0,AEX,EOE,FTA,EUR
20210329,697.94,700.85,696.92,697.94,0.0,AEX,EOE,FTA,EUR
20210330,700.82,702.44,696.96,701.12,0.0,AEX,EOE,FTA,EUR
20210331,700.81,704.25,699.69,699.85,0.0,AEX,EOE,FTA,EUR
20210401,707.05,710.95,704.53,708.43,0.0,AEX,EOE,FTA,EUR
20210406,716.81,717.69,711.91,713.28,0.0,AEX,EOE,FTA,EUR
20210407,711.9,712.85,709.63,710.08,0.0,AEX,EOE,FTA,EUR
20210408,713.46,713.97,710.7,713.38,0.0,AEX,EOE,FTA,EUR
20210409,713.46,714.11,711.6,713.36,0.0,AEX,EOE,FTA,EUR
20210412,711.94,713.48,706.7,707.35,0.0,AEX,EOE,FTA,EUR
20210413,709.1,710.85,706.1,708.6,0.0,AEX,EOE,FTA,EUR
20210414,708.83,713.31,708.44,712.55,0.0,AEX,EOE,FTA,EUR
20210415,713.21,714.98,712.37,713.8,0.0,AEX,EOE,FTA,EUR
20210416,714.48,716.8,712.57,716.8,0.0,AEX,EOE,FTA,EUR
20210419,717.05,718.5,710.62,711.94,0.0,AEX,EOE,FTA,EUR
20210420,710.88,713.38,699.06,700.19,0.0,AEX,EOE,FTA,EUR
20210421,707.16,710.62,704.63,709.36,0.0,AEX,EOE,FTA,EUR
20210422,712.58,714.62,710.35,712.94,0.0,AEX,EOE,FTA,EUR
20210423,710.48,715.77,709.44,715.77,0.0,AEX,EOE,FTA,EUR
20210426,714.98,716.69,711.57,715.46,0.0,AEX,EOE,FTA,EUR
20210427,715.41,715.56,709.72,712.22,0.0,AEX,EOE,FTA,EUR
20210428,713.63,714.2,710.49,711.84,0.0,AEX,EOE,FTA,EUR
20210429,715.78,719.26,709.97,710.47,0.0,AEX,EOE,FTA,EUR
20210430,710.58,711.82,705.87,707.56,0.0,AEX,EOE,FTA,EUR
20210503,709.93,713.11,705.99,712.13,0.0,AEX,EOE,FTA,EUR
20210504,714.02,714.25,695.71,696.98,0.0,AEX,EOE,FTA,EUR
20210505,703.78,714.42,702.92,714.14,0.0,AEX,EOE,FTA,EUR
20210506,714.59,715.92,707.58,712.46,0.0,AEX,EOE,FTA,EUR
20210507,717.32,719.29,712.5,718.41,0.0,AEX,EOE,FTA,EUR
20210510,718.48,718.48,710.83,711.91,0.0,AEX,EOE,FTA,EUR
20210511,700.61,702.08,689.51,695.94,0.0,AEX,EOE,FTA,EUR
20210512,696.51,698.99,692.53,694.76,0.0,AEX,EOE,FTA,EUR
20210513,686.86,696.53,677.88,694.22,0.0,AEX,EOE,FTA,EUR
20210514,700.29,703.33,695.65,703.33,0.0,AEX,EOE,FTA,EUR
20210517,704.82,705.83,699.79,703.22,0.0,AEX,EOE,FTA,EUR
20210518,709.4,710.15,704.93,705.01,0.0,AEX,EOE,FTA,EUR
20210519,697.34,697.83,685.97,693.72,0.0,AEX,EOE,FTA,EUR
