broker,asset_rollup,optie_call_put,optie_strike,optie_exp_date,ib_currency,opt_exchange,opt_tradingclass
interactive,DHL,call,47.0,2026-03-20,EUR,EUREX,DPW
lynx,DHL,call,47.0,2026-03-20,EUR,EUREX,DPW
interactive,O,call,65.0,2026-03-20,USD,SMART,O
lynx,O,call,65.0,2026-03-20,USD,SMART,O
degiro,PROSUS,call,48.0,2026-03-20,EUR,FTA,PRX
lynx,PROSUS,call,48.0,2026-03-20,EUR,FTA,PRX
degiro,RELX,call,31.0,2026-03-20,EUR,FTA,REN
lynx,RELX,call,31.0,2026-03-20,EUR,FTA,REN
degiro,WKL,call,68.0,2026-03-20,EUR,FTA,WKL
lynx,WKL,call,68.0,2026-03-20,EUR,FTA,WKL
