broker;asset_rollup;optie_exp_date;optie_strike;optie_call_put;qty_open;ib_currency;option_price;underlying_close;intrinsic_per_unit;time_value_per_unit;time_value_signed_ccy;time_value_abs_ccy;series_id;snapshot_ts
degiro;AEX;2026-03-20;820,0;put;-300,0;EUR;0,18;1001,66;0,0;0,18;-54,0;54,0;1;2026-03-14 18:25:02
lynx;AEX;2026-03-20;840,0;put;-400,0;EUR;0,24;1001,66;0,0;0,24;-96,0;96,0;78;2026-03-14 18:25:02
lynx;AEX;2026-03-20;900,0;put;300,0;EUR;0,74;1001,66;0,0;0,74;222,0;222,0;79;2026-03-14 18:25:02
degiro;AEX;2026-03-20;920,0;put;300,0;EUR;1,19;1001,66;0,0;1,19;357,0;357,0;2;2026-03-14 18:25:02
degiro;AHOLD;2026-03-20;38,0;call;-300,0;EUR;3,66;42,02;4,02;0,0;-0,0;0,0;3;2026-03-14 18:25:02
lynx;AHOLD;2026-03-20;36,0;put;-800,0;EUR;;42,02;0,0;;;;81;
lynx;AHOLD;2026-04-17;40,0;put;-400,0;EUR;0,56;42,02;0,0;0,56;-224,0;224,0;80;2026-03-14 18:25:02
interactive;ALLIANZ;2026-03-20;370,0;put;-100,0;EUR;20,2;355,0;15,0;5,2;-520,0;520,0;31;2026-03-14 18:25:02
interactive;ANET;2026-03-20;120,0;put;-100,0;USD;0,9;133,57;0,0;0,9;-90,0;90,0;32;2026-03-14 18:25:02
interactive;APPLOVIN;2026-03-20;500,0;put;-100,0;USD;55,62;458,67;41,33;14,29;-1429,0;1429,0;33;2026-03-14 18:25:02
interactive;ARCHER;2026-03-20;7,0;put;-200,0;USD;0,9;6,03;0,97;0,0;-0,0;0,0;34;2026-03-14 18:25:02
interactive;ARCHER;2026-03-20;8,0;put;-100,0;USD;1,85;6,03;1,97;0,0;-0,0;0,0;35;2026-03-14 18:25:02
degiro;ASMI;2026-03-20;580,0;put;-100,0;EUR;0,97;684,2;0,0;0,97;-97,0;97,0;4;2026-03-14 18:25:02
lynx;ASMLAEB;2026-03-20;1020,0;put;-100,0;EUR;4,08;1177,0;0,0;4,08;-408,0;408,0;82;2026-03-14 18:25:02
degiro;ASR;2026-03-20;59,0;put;-200,0;EUR;1,65;58,22;0,78;0,87;-174,0;174,0;6;2026-03-14 18:25:02
degiro;ASR;2026-04-17;60,0;put;-200,0;EUR;3,09;58,22;1,78;1,31;-262,0;262,0;5;2026-03-14 18:25:02
lynx;ASTS;2026-03-20;80,0;put;-100,0;USD;2,5;86,34;0,0;2,5;-250,0;250,0;83;2026-03-14 18:25:02
interactive;BABA;2026-03-20;137,0;call;-100,0;USD;3,63;135,21;0,0;3,63;-363,0;363,0;36;2026-03-14 18:25:02
interactive;BABA;2026-03-20;160,0;put;-100,0;USD;26,01;135,21;24,79;1,22;-122,0;122,0;37;2026-03-14 18:25:02
degiro;BASF;2026-03-20;50,0;put;-200,0;EUR;2,05;48,4;1,6;0,45;-90,0;90,0;7;2026-03-14 18:25:02
lynx;BAYER;2026-03-20;39,0;call;-400,0;EUR;1,11;38,59;0,0;1,11;-444,0;444,0;84;2026-03-14 18:25:02
lynx;BAYER;2026-03-20;39,0;put;-600,0;EUR;0,96;38,59;0,41;0,55;-327,6;327,6;85;2026-03-14 18:25:02
lynx;BESI;2026-03-20;165,0;put;-100,0;EUR;3,12;186,9;0,0;3,12;-312,0;312,0;86;2026-03-14 18:25:02
degiro;BESI;2026-04-17;150,0;put;-100,0;EUR;4,04;186,9;0,0;4,04;-404,0;404,0;8;2026-03-14 18:25:02
interactive;BHP;2026-03-20;70,0;put;-100,0;USD;1,42;68,74;1,26;0,16;-16,0;16,0;38;2026-03-14 18:25:02
interactive;BHP;2026-03-20;72,5;put;-200,0;USD;2,7;68,74;3,76;0,0;-0,0;0,0;39;2026-03-14 18:25:02
interactive;BHP;2026-03-20;80,0;put;-100,0;USD;9,27;68,74;11,26;0,0;-0,0;0,0;40;2026-03-14 18:25:02
lynx;BMW;2026-03-20;81,0;put;-200,0;EUR;1,56;81,28;0,0;1,56;-312,0;312,0;87;2026-03-14 18:25:02
degiro;BMW;2026-03-20;82,0;put;-300,0;EUR;2,02;81,28;0,72;1,3;-390,0;390,0;9;2026-03-14 18:25:02
lynx;BNP;2026-03-20;84,0;put;-200,0;EUR;1,76;85,14;0,0;1,76;-352,0;352,0;88;2026-03-14 18:25:02
interactive;BNP;2026-03-20;89,0;put;-200,0;EUR;4,36;85,14;3,86;0,5;-100,0;100,0;41;2026-03-14 18:25:02
interactive;CAMECO;2026-03-20;117,0;put;-300,0;USD;5,51;107,92;9,08;0,0;-0,0;0,0;42;2026-03-14 18:25:02
degiro;CSG;2026-03-20;32,0;call;-100,0;EUR;0,14;27,82;0,0;0,14;-14,0;14,0;10;2026-03-14 18:25:02
degiro;CSG;2026-03-20;30,0;put;-100,0;EUR;1,87;27,82;2,18;0,0;-0,0;0,0;11;2026-03-14 18:25:02
degiro;DANONE;2026-03-20;72,0;call;-200,0;EUR;0,42;71,78;0,0;0,42;-84,0;84,0;12;2026-03-14 18:25:02
interactive;DHL;2026-03-20;47,0;call;-100,0;EUR;0,53;45,13;0,0;0,53;-53,0;53,0;43;2026-03-14 18:25:02
lynx;DHL;2026-03-20;47,0;call;-200,0;EUR;0,53;45,13;0,0;0,53;-106,0;106,0;43;2026-03-14 18:25:02
interactive;DHL;2026-03-20;48,0;put;-200,0;EUR;2,31;45,13;2,87;0,0;-0,0;0,0;44;2026-03-14 18:25:02
lynx;FLOW;2026-03-20;26,5;put;-100,0;EUR;0,17;27,94;0,0;0,17;-17,0;17,0;89;2026-03-14 18:25:02
degiro;HEINEKEN;2026-03-20;78,0;call;-200,0;EUR;0,02;71,33;0,0;0,02;-4,0;4,0;14;2026-03-14 18:25:02
lynx;HEINEKEN;2026-03-20;80,0;call;-200,0;EUR;0,01;71,33;0,0;0,01;-2,0;2,0;90;2026-03-14 18:25:02
degiro;HEINEKEN;2026-03-20;80,0;put;-100,0;EUR;10,3;71,33;8,67;1,63;-163,0;163,0;15;2026-03-14 18:25:02
degiro;HEINEKEN;2026-04-17;76,0;put;-200,0;EUR;6,62;71,33;4,67;1,95;-390,0;390,0;13;2026-03-14 18:25:02
interactive;INFINEON;2026-03-20;40,0;put;-200,0;EUR;1,16;39,74;0,26;0,9;-180,0;180,0;45;2026-03-14 18:25:02
degiro;ING;2026-03-20;23,83;call;-200,0;EUR;0,21;22,51;0,0;0,21;-42,0;42,0;16;2026-03-14 18:25:02
lynx;ING;2026-03-20;23,34;put;-1000,0;EUR;0,81;22,51;0,83;0,0;-0,0;0,0;91;2026-03-14 18:25:02
