broker;asset_rollup;optie_exp_date;optie_strike;optie_call_put;qty_open;ib_currency;option_price;underlying_close;intrinsic_per_unit;time_value_per_unit;time_value_signed_ccy;time_value_abs_ccy;series_id;snapshot_ts
degiro;AEX;2026-03-20;820,0;put;-300,0;EUR;0,18;1001,66;0,0;0,18;-54,0;54,0;1;2026-03-15 10:22:47
lynx;AEX;2026-03-20;840,0;put;-400,0;EUR;0,24;1001,66;0,0;0,24;-96,0;96,0;78;2026-03-15 10:22:47
lynx;AEX;2026-03-20;900,0;put;300,0;EUR;0,74;1001,66;0,0;0,74;222,0;222,0;79;2026-03-15 10:22:47
degiro;AEX;2026-03-20;920,0;put;300,0;EUR;1,19;1001,66;0,0;1,19;357,0;357,0;2;2026-03-15 10:22:47
degiro;AHOLD;2026-03-20;38,0;call;-300,0;EUR;3,66;42,02;4,02;0,0;-0,0;0,0;3;2026-03-15 10:22:47
lynx;AHOLD;2026-03-20;36,0;put;-800,0;EUR;;42,02;0,0;;;;81;
lynx;AHOLD;2026-04-17;40,0;put;-400,0;EUR;0,56;42,02;0,0;0,56;-224,0;224,0;80;2026-03-15 10:22:47
interactive;ALLIANZ;2026-03-20;370,0;put;-100,0;EUR;20,2;355,0;15,0;5,2;-520,0;520,0;31;2026-03-15 10:22:47
interactive;ANET;2026-03-20;120,0;put;-100,0;USD;0,9;133,57;0,0;0,9;-90,0;90,0;32;2026-03-15 10:22:47
interactive;APPLOVIN;2026-03-20;500,0;put;-100,0;USD;55,62;458,67;41,33;14,29;-1429,0;1429,0;33;2026-03-15 10:22:47
interactive;ARCHER;2026-03-20;7,0;put;-200,0;USD;0,9;6,03;0,97;0,0;-0,0;0,0;34;2026-03-15 10:22:47
interactive;ARCHER;2026-03-20;8,0;put;-100,0;USD;1,85;6,03;1,97;0,0;-0,0;0,0;35;2026-03-15 10:22:47
degiro;ASMI;2026-03-20;580,0;put;-100,0;EUR;0,97;684,2;0,0;0,97;-97,0;97,0;4;2026-03-15 10:22:47
lynx;ASMLAEB;2026-03-20;1020,0;put;-100,0;EUR;4,08;1177,0;0,0;4,08;-408,0;408,0;82;2026-03-15 10:22:47
degiro;ASR;2026-03-20;59,0;put;-200,0;EUR;1,65;58,22;0,78;0,87;-174,0;174,0;6;2026-03-15 10:22:47
degiro;ASR;2026-04-17;60,0;put;-200,0;EUR;3,09;58,22;1,78;1,31;-262,0;262,0;5;2026-03-15 10:22:47
lynx;ASTS;2026-03-20;80,0;put;-100,0;USD;2,5;86,34;0,0;2,5;-250,0;250,0;83;2026-03-15 10:22:47
interactive;BABA;2026-03-20;137,0;call;-100,0;USD;3,63;135,21;0,0;3,63;-363,0;363,0;36;2026-03-15 10:22:47
interactive;BABA;2026-03-20;160,0;put;-100,0;USD;26,01;135,21;24,79;1,22;-122,0;122,0;37;2026-03-15 10:22:47
degiro;BASF;2026-03-20;50,0;put;-200,0;EUR;2,05;48,4;1,6;0,45;-90,0;90,0;7;2026-03-15 10:22:47
lynx;BAYER;2026-03-20;39,0;call;-400,0;EUR;1,11;38,586;0,0;1,11;-444,0;444,0;84;2026-03-15 10:22:47
lynx;BAYER;2026-03-20;39,0;put;-600,0;EUR;0,96;38,586;0,414;0,546;-327,6;327,6;85;2026-03-15 10:22:47
lynx;BESI;2026-03-20;165,0;put;-100,0;EUR;3,12;186,9;0,0;3,12;-312,0;312,0;86;2026-03-15 10:22:47
degiro;BESI;2026-04-17;150,0;put;-100,0;EUR;4,04;186,9;0,0;4,04;-404,0;404,0;8;2026-03-15 10:22:47
interactive;BHP;2026-03-20;70,0;put;-100,0;USD;1,42;68,74;1,26;0,16;-16,0;16,0;38;2026-03-15 10:22:47
interactive;BHP;2026-03-20;72,5;put;-200,0;USD;2,7;68,74;3,76;0,0;-0,0;0,0;39;2026-03-15 10:22:47
interactive;BHP;2026-03-20;80,0;put;-100,0;USD;9,27;68,74;11,26;0,0;-0,0;0,0;40;2026-03-15 10:22:47
