broker,asset_rollup,asset_type,optie_exp_date,optie_strike,optie_call_put,SomVantransactie_aantal,SomVantransactie_euro_totaal,ib_symbol,ib_currency,VrijdagNummer,MaxWeek,WeeknummerVoorJoin,opt_exchange,opt_tradingclass,opt_week
degiro,AEX,optie,2026-03-20,820.0,put,-300.0,1461.0,EOE,EUR,3,3.0,3.0,FTA,AEX,3.0
lynx,AEX,optie,2026-03-20,840.0,put,-400.0,3968.0,EOE,EUR,3,3.0,3.0,FTA,AEX,3.0
lynx,AEX,optie,2026-03-20,900.0,put,300.0,-6785.0,EOE,EUR,3,3.0,3.0,FTA,AEX,3.0
degiro,AEX,optie,2026-03-20,920.0,put,300.0,-4560.0,EOE,EUR,3,3.0,3.0,FTA,AEX,3.0
degiro,AHOLD,optie,2026-03-20,38.0,call,-300.0,273.0,AD,EUR,3,5.0,3.0,FTA,AH,3.0
lynx,AHOLD,optie,2026-03-20,36.0,put,-800.0,368.0,AD,EUR,3,5.0,3.0,FTA,AH,3.0
lynx,AHOLD,optie,2026-04-17,40.0,put,-400.0,252.0,AD,EUR,3,5.0,3.0,FTA,AH,3.0
interactive,ALLIANZ,optie,2026-03-20,370.0,put,-100.0,300.0,ALV,EUR,3,0.0,0.0,EUREX,ALV,0.0
interactive,ANET,optie,2026-03-20,120.0,put,-100.0,223.0,ANET,USD,3,0.0,0.0,SMART,ANET,0.0
interactive,APPLOVIN,optie,2026-03-20,500.0,put,-100.0,5153.0,APP,USD,3,0.0,0.0,SMART,APP,0.0
interactive,ARCHER,optie,2026-03-20,7.0,put,-200.0,178.0,ACHR,USD,3,0.0,0.0,SMART,ACHR,0.0
interactive,ARCHER,optie,2026-03-20,8.0,put,-100.0,149.0,ACHR,USD,3,0.0,0.0,SMART,ACHR,0.0
degiro,ASMI,optie,2026-03-20,580.0,put,-100.0,815.0,ASM,EUR,3,5.0,3.0,FTA,ASM,3.0
lynx,ASMLAEB,optie,2026-03-20,1020.0,put,-100.0,433.0,ASML,EUR,3,5.0,3.0,FTA,ASL,3.0
degiro,ASR,optie,2026-03-20,59.0,put,-200.0,106.0,ASRNL,EUR,3,3.0,3.0,FTA,ASR,3.0
degiro,ASR,optie,2026-04-17,60.0,put,-200.0,586.0,ASRNL,EUR,3,3.0,3.0,FTA,ASR,3.0
lynx,ASTS,optie,2026-03-20,80.0,put,-100.0,233.0,ASTS,USD,3,0.0,0.0,SMART,ASTS,0.0
interactive,BABA,optie,2026-03-20,137.0,call,-100.0,372.0,BABA,USD,3,0.0,0.0,SMART,BABA,0.0
interactive,BABA,optie,2026-03-20,160.0,put,-100.0,2677.0,BABA,USD,3,0.0,0.0,SMART,BABA,0.0
degiro,BASF,optie,2026-03-20,50.0,put,-200.0,418.0,BAS,EUR,3,0.0,0.0,EUREX,BAS,0.0
lynx,BAYER,optie,2026-03-20,39.0,call,-400.0,400.0,BAYN,EUR,3,0.0,0.0,EUREX,BAY,0.0
lynx,BAYER,optie,2026-03-20,39.0,put,-600.0,534.0,BAYN,EUR,3,0.0,0.0,EUREX,BAY,0.0
lynx,BESI,optie,2026-03-20,165.0,put,-100.0,380.0,BESI,EUR,3,5.0,3.0,FTA,BES,3.0
degiro,BESI,optie,2026-04-17,150.0,put,-100.0,216.6,BESI,EUR,3,5.0,3.0,FTA,BES,3.0
interactive,BHP,optie,2026-03-20,70.0,put,-100.0,215.0,BHP,USD,3,3.0,3.0,SMART,BHP,3.0
interactive,BHP,optie,2026-03-20,72.5,put,-200.0,598.0,BHP,USD,3,3.0,3.0,SMART,BHP,3.0
interactive,BHP,optie,2026-03-20,80.0,put,-100.0,460.0,BHP,USD,3,3.0,3.0,SMART,BHP,3.0
lynx,BMW,optie,2026-03-20,81.0,put,-200.0,388.0,BMW,EUR,3,0.0,0.0,EUREX,BMW,0.0
degiro,BMW,optie,2026-03-20,82.0,put,-300.0,880.0,BMW,EUR,3,0.0,0.0,EUREX,BMW,0.0
lynx,BNP,optie,2026-03-20,84.0,put,-200.0,436.0,BNP,EUR,3,0.0,0.0,EUREX,BNP,0.0
interactive,BNP,optie,2026-03-20,89.0,put,-200.0,840.0,BNP,EUR,3,0.0,0.0,EUREX,BNP,0.0
interactive,CAMECO,optie,2026-03-20,117.0,put,-300.0,2367.0,CCJ,USD,3,0.0,0.0,SMART,CCJ,0.0
degiro,CSG,optie,2026-03-20,32.0,call,-100.0,90.0,CSG1,EUR,3,3.0,3.0,SMART,CSG,3.0
degiro,CSG,optie,2026-03-20,30.0,put,-100.0,115.0,CSG1,EUR,3,3.0,3.0,SMART,CSG,3.0
degiro,DANONE,optie,2026-03-20,72.0,call,-200.0,608.0,BN,EUR,3,5.0,3.0,EUREX,BSN,3.0
interactive,DHL,optie,2026-03-20,47.0,call,-100.0,27.0,DHL,EUR,3,0.0,0.0,EUREX,DPW,0.0
lynx,DHL,optie,2026-03-20,47.0,call,-200.0,108.0,DHL,EUR,3,0.0,0.0,EUREX,DPW,0.0
interactive,DHL,optie,2026-03-20,48.0,put,-200.0,476.0,DHL,EUR,3,0.0,0.0,EUREX,DPW,0.0
lynx,FLOW,optie,2026-03-20,26.5,put,-100.0,91.0,FLOW,EUR,3,3.0,3.0,FTA,FLW,3.0
degiro,HEINEKEN,optie,2026-03-20,78.0,call,-200.0,404.0,HEIA,EUR,3,5.0,3.0,FTA,HEI,3.0
lynx,HEINEKEN,optie,2026-03-20,80.0,call,-200.0,136.0,HEIA,EUR,3,5.0,3.0,FTA,HEI,3.0
degiro,HEINEKEN,optie,2026-03-20,80.0,put,-100.0,784.0,HEIA,EUR,3,5.0,3.0,FTA,HEI,3.0
degiro,HEINEKEN,optie,2026-04-17,76.0,put,-200.0,1298.0,HEIA,EUR,3,5.0,3.0,FTA,HEI,3.0
interactive,INFINEON,optie,2026-03-20,40.0,put,-200.0,162.0,IFX,EUR,3,0.0,0.0,EUREX,IFX,0.0
degiro,ING,optie,2026-03-20,23.83,call,-200.0,288.0,INGA,EUR,3,5.0,3.0,FTA,ING,3.0
lynx,ING,optie,2026-03-20,23.34,put,-1000.0,350.0,INGA,EUR,3,5.0,3.0,FTA,ING,3.0
interactive,INTEL,optie,2026-03-20,45.5,call,-500.0,975.0,INTC,USD,3,0.0,0.0,SMART,INTC,0.0
interactive,ISRG,optie,2026-03-20,490.0,call,-100.0,340.0,ISRG,USD,3,0.0,0.0,SMART,ISRG,0.0
interactive,JOBY,optie,2026-03-20,10.0,call,-100.0,27.0,JOBY,USD,3,0.0,0.0,SMART,JOBY,0.0
interactive,JOBY,optie,2026-03-20,9.5,put,-100.0,60.0,JOBY,USD,3,0.0,0.0,SMART,JOBY,0.0
interactive,KO,optie,2026-03-20,78.0,call,-300.0,204.0,KO,USD,3,0.0,0.0,SMART,KO,0.0
degiro,MAGNUM,optie,2026-03-20,13.0,call,-300.0,96.0,MICC,EUR,3,3.0,3.0,SMART,MAG,3.0
degiro,MAGNUM,optie,2026-03-20,14.0,call,-100.0,19.0,MICC,EUR,3,3.0,3.0,SMART,MAG,3.0
degiro,MAGNUM,optie,2026-03-20,16.5,call,-300.0,198.0,MICC,EUR,3,3.0,3.0,SMART,MAG,3.0
lynx,MBITCOIN,optie,2026-03-20,71500.0,put,-0.2,324.0,MBT,USD,3,0.0,0.0,CME,MBTH6,0.0
interactive,MDT,optie,2026-03-20,87.0,call,-100.0,126.0,MDT,USD,3,0.0,0.0,SMART,MDT,0.0
lynx,MT,optie,2026-03-20,47.0,put,-500.0,245.0,MT,EUR,3,5.0,3.0,FTA,MT,3.0
degiro,MT,optie,2026-03-20,48.0,put,-800.0,520.0,MT,EUR,3,5.0,3.0,FTA,MT,3.0
interactive,NEBIUS,optie,2026-03-20,95.0,put,-300.0,546.0,NBIS,USD,3,0.0,0.0,SMART,NBIS,0.0
interactive,NEBIUS,optie,2026-03-20,105.0,put,-100.0,235.0,NBIS,USD,3,0.0,0.0,SMART,NBIS,0.0
interactive,NIKE,optie,2026-03-27,58.0,call,-100.0,39.0,NKE,USD,4,0.0,0.0,SMART,NKE,0.0
interactive,O,optie,2026-03-20,65.0,call,-200.0,370.0,O,USD,3,0.0,0.0,SMART,O,0.0
lynx,O,optie,2026-03-20,65.0,call,-500.0,925.0,O,USD,3,0.0,0.0,SMART,O,0.0
lynx,OKTA,optie,2026-03-20,82.5,call,-100.0,90.0,OKTA,USD,3,0.0,0.0,SMART,OKTA,0.0
lynx,OKTA,optie,2026-03-20,90.0,put,-100.0,1132.0,OKTA,USD,3,0.0,0.0,SMART,OKTA,0.0
interactive,ORACLE,optie,2026-04-17,135.0,put,-100.0,241.0,ORCL,USD,3,0.0,0.0,SMART,ORCL,0.0
interactive,PANW,optie,2026-03-20,165.0,call,-100.0,520.0,PANW,USD,3,0.0,0.0,SMART,PANW,0.0
interactive,PL,optie,2026-03-20,22.0,put,-200.0,592.0,PL,USD,3,0.0,0.0,SMART,PL,0.0
interactive,PL,optie,2026-03-20,23.5,put,-100.0,209.0,PL,USD,3,0.0,0.0,SMART,PL,0.0
interactive,PLTR,optie,2026-03-20,145.0,put,-300.0,672.0,PLTR,USD,3,0.0,0.0,SMART,PLTR,0.0
degiro,PROSUS,optie,2026-03-20,48.0,call,-200.0,100.0,PRX,EUR,3,5.0,3.0,FTA,PRX,3.0
lynx,PROSUS,optie,2026-03-20,48.0,call,-200.0,100.0,PRX,EUR,3,5.0,3.0,FTA,PRX,3.0
degiro,PROSUS,optie,2026-03-20,48.0,put,-100.0,550.0,PRX,EUR,3,5.0,3.0,FTA,PRX,3.0
degiro,RDSA,optie,2026-03-20,33.0,call,-400.0,348.0,SHELL,EUR,3,5.0,3.0,FTA,RD,3.0
lynx,RDSA,optie,2026-03-20,35.0,call,-200.0,346.0,SHELL,EUR,3,5.0,3.0,FTA,RD,3.0
lynx,RDSA,optie,2026-03-20,36.0,put,-500.0,290.0,SHELL,EUR,3,5.0,3.0,FTA,RD,3.0
degiro,RELX,optie,2026-03-20,31.0,call,-200.0,138.0,REN,EUR,3,3.0,3.0,FTA,REN,3.0
lynx,RELX,optie,2026-03-20,31.0,call,-300.0,207.0,REN,EUR,3,3.0,3.0,FTA,REN,3.0
degiro,RELX,optie,2026-03-20,30.0,put,-200.0,842.0,REN,EUR,3,3.0,3.0,FTA,REN,3.0
interactive,ROBINHOOD,optie,2026-03-20,80.0,call,-100.0,302.0,HOOD,USD,3,0.0,0.0,SMART,HOOD,0.0
interactive,ROBINHOOD,optie,2026-03-20,76.0,put,-300.0,1011.0,HOOD,USD,3,0.0,0.0,SMART,HOOD,0.0
